property_url,listing_title,property_id,total_price,unit_price,alley_width,image_url,city,district,features,property_description,scraping_time
https://onehousing.vn/bds/Nha-mat-ngo-cach-Tan-Trieu-50m--X--Tan-Trieu--H--Thanh-Tri--TP--Ha-Noi.NAZQJN,"Nhà mặt ngõ cách Tân Triều 50m, X. Tân Triều, H. Thanh Trì, TP. Hà Nội",NAZQJN,5.85 tỷ,254 triệu/m²,"Độ rộng ngõ
2m - 3m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/db57d633-b104-44bb-9376-0810904a1fff/2c94211a9a4a2a77019b694d5cb06fa7_CLONE/LIVING_ROOM/image_picker_0CA8C47D-5AE9-48B5-895B-E1B6462728A3-45879-00000D01CDD57EB0_1766998554427.jpg,TP. Hà Nội,H. Thanh Trì,Hướng mặt tiền: Đông - 3m; Số tầng: 5; Diện tích: 23 m²,,1768461734
https://onehousing.vn/bds/Nha-mat-ngo-cach-Bo-De-50m--P--Bo-De--Q--Long-Bien--TP--Ha-Noi.IRRPHH,"Nhà mặt ngõ cách Bồ Đề 50m, P. Bồ Đề, Q. Long Biên, TP. Hà Nội",IRRPHH,54 tỷ,250 triệu/m²,"Độ rộng ngõ
3.1m - 3.9m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/51c71667-5ace-4e0e-be88-71c01f646051/2c9428389b86e722019b86e844ac0000_CLONE/LOCAL_STREET/image_picker_D09043E5-52D0-4669-AC7F-04CE2D64830F-294-000000102D83FD67_1767495881102.jpg,TP. Hà Nội,Q. Long Biên,Hướng mặt tiền: Tây Nam - 7.35m; Số tầng: 3; Diện tích: 216 m²,,1768461735
https://onehousing.vn/bds/Nha-mat-ngo-cach-Thuong-Thanh-100m--P--Viet-Hung--Q--Long-Bien--TP--Ha-Noi.N2TFOY,"Nhà mặt ngõ cách Thượng Thanh 100m, P. Việt Hưng, Q. Long Biên, TP. Hà Nội",N2TFOY,8.9 tỷ,137 triệu/m²,"Độ rộng ngõ
2.1m - 3m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/1e76b8a4-0eae-4cd5-bfad-25f92637d771/2c9427729b678efa019b67e63f08001a_CLONE/LIVING_ROOM/image_picker_50CA2247-21A8-43C9-8E13-AAC00C9E3B98-20802-000006782EBF30D1_1766975570674.jpg,TP. Hà Nội,Q. Long Biên,Hướng mặt tiền: Nam - 6.7m; Số tầng: 4; Diện tích: 65 m²,,1768461740
https://onehousing.vn/bds/Nha-mat-ngo-cach-Ta-Quang-Buu-30m--P--Bach-Khoa--Q--Hai-Ba-Trung--TP--Ha-Noi.IK8SDA,"Nhà mặt ngõ cách Tạ Quang Bửu 30m, P. Bách Khoa, Q. Hai Bà Trưng, TP. Hà Nội",IK8SDA,4.7 tỷ,198 triệu/m²,"Độ rộng ngõ
5m - 6m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/9011004b-4163-43ef-8991-16c67292b996/2c9427839a4a2959019b82da7d037227_CLONE/LIVING_ROOM/scaled_1000030602_1767427804283.jpg,TP. Hà Nội,Q. Hai Bà Trưng,Hướng mặt tiền: Nam - 3.3m; Số tầng: 1; Diện tích: 23.74 m²,,1768461741
https://onehousing.vn/bds/Nha-mat-ngo-cach-Ho-Tung-Mau-100m--P--Phu-Dien--Q--Bac-Tu-Liem--TP--Ha-Noi.TWPLBD,"Nhà mặt ngõ cách Hồ Tùng Mậu 100m, P. Phú Diễn, Q. Bắc Từ Liêm, TP. Hà Nội",TWPLBD,9.7 tỷ,271 triệu/m²,"Độ rộng ngõ
2m - 3m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/878787bf-894d-425e-bd0b-b032028b5159/2c9424f49b6939ff019b694e20f50004_CLONE/LIVING_ROOM/scaled_1000285949_1766998601310.jpg,TP. Hà Nội,Q. Bắc Từ Liêm,Hướng mặt tiền: Đông Nam - 3.24m; Số tầng: 5; Diện tích: 35.8 m²,,1768461745
https://onehousing.vn/bds/Nha-mat-ngo-cach-Huu-Hung-80m--P--Tay-Mo--Q--Nam-Tu-Liem--TP--Ha-Noi.UMAZHP,"Nhà mặt ngõ cách Hữu Hưng 80m, P. Tây Mỗ, Q. Nam Từ Liêm, TP. Hà Nội",UMAZHP,13.5 tỷ,157 triệu/m²,"Độ rộng ngõ
3.5m - 5m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/97efdefd-21fc-4b39-8850-47e5f809a1ea/2c9427839a4a2959019b8d8ce3de756f_CLONE/LOCAL_STREET/scaled_1000112895_1767660185846.jpg,TP. Hà Nội,Q. Nam Từ Liêm,Hướng mặt tiền: Bắc - 6m; Số tầng: 3; Diện tích: 86 m²,,1768461747
https://onehousing.vn/bds/Nha-mat-ngo-cach-Nguyen-Chanh-5m--P--Trung-Hoa--Q--Cau-Giay--TP--Ha-Noi.EYKN1Z,"Nhà mặt ngõ cách Nguyễn Chánh 5m, P. Trung Hòa, Q. Cầu Giấy, TP. Hà Nội",EYKN1Z,40 tỷ,667 triệu/m²,"Độ rộng ngõ
6m - 8m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/df7f11d2-eb58-4d57-b229-0f7ff2a028d2/2c9427839a4a2959019b4a82235161b9_CLONE/LIVING_ROOM/image_picker_337F8ABE-4B04-4C2C-8080-C821D43F1973-1716-000000BBC59CEEC4_1766482171473.jpg,TP. Hà Nội,Q. Cầu Giấy,Hướng mặt tiền: Tây Bắc - 4.4m; Số tầng: 7; Diện tích: 60 m²,,1768461748
https://onehousing.vn/bds/Nha-mat-ngo-cach-Kim-Nguu-100m--P--Thanh-Luong--Q--Hai-Ba-Trung--TP--Ha-Noi.ER45N2,"Nhà mặt ngõ cách Kim Ngưu 100m, P. Thanh Lương, Q. Hai Bà Trưng, TP. Hà Nội",ER45N2,11.9 tỷ,240 triệu/m²,"Độ rộng ngõ
2m - 3m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/d1a11217-0b7a-4bff-9f77-451317ccdd58/2c9427839a4a2959019bafd6636d01be_CLONE/LIVING_ROOM/image_picker_560D26A6-614E-4440-B00B-23E4742EFA3D-51397-0000C100BF2EA526_1768182070867.jpg,TP. Hà Nội,Q. Hai Bà Trưng,Hướng mặt tiền: Nam - 3.5m; Số tầng: 5; Diện tích: 49.6 m²,,1768461750
https://onehousing.vn/bds/Nha-mat-ngo-cach-Nguyen-Duc-Canh-10m--P--Tuong-Mai--Q--Hoang-Mai--TP--Ha-Noi.9W8NUE,"Nhà mặt ngõ cách Nguyễn Đức Cảnh 10m, P. Tương Mai, Q. Hoàng Mai, TP. Hà Nội",9W8NUE,16.5 tỷ,322 triệu/m²,"Độ rộng ngõ
3m - 3m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/4e74329b-161b-46f1-8bc4-20cc7da8ee05/2c94211a9a4a2a77019b68fe67b46f5b_CLONE/LIVING_ROOM/image_picker_36919FD5-2E76-4C04-8292-0EAA3FCE8C23-37629-00000BBF7FF9069F_1766999071877.jpg,TP. Hà Nội,Q. Hoàng Mai,Hướng mặt tiền: Đông Nam - 4.5m; Số tầng: 7; Diện tích: 51.2 m²,,1768461752
https://onehousing.vn/bds/Nha-mat-ngo-cach-Phung-Khoang-20m--P--Trung-Van--Q--Nam-Tu-Liem--TP--Ha-Noi.EEQI0N,"Nhà mặt ngõ cách Phùng Khoang 20m, P. Trung Văn, Q. Nam Từ Liêm, TP. Hà Nội",EEQI0N,16.5 tỷ,212 triệu/m²,"Độ rộng ngõ
2m - 3m",https://rs.onehousing.vn/fast/320x0/filters:quality(95):format(webp)/cdn1.onehousing.vn/media/RESIDENTIAL/fc242618-dac9-4ba7-b1e2-a50f85eebfe3/2c94211a9a4a2a77019b8dddb7a17857_CLONE/LIVING_ROOM/scaled_1000012506_1767616353617.jpg,TP. Hà Nội,Q. Nam Từ Liêm,Hướng mặt tiền: Đông Nam - 2.01m; Số tầng: 6; Diện tích: 78 m²,,1768461752
